day_start,crime_count
2025-01-01,0
2025-01-02,0
2025-01-03,0
2025-01-04,0
2025-01-05,0
2025-01-06,0
2025-01-07,0
2025-01-08,0
2025-01-09,0
2025-01-10,0
2025-01-11,0
2025-01-12,0
2025-01-13,0
2025-01-14,0
2025-01-15,0
2025-01-16,0
2025-01-17,0
2025-01-18,0
2025-01-19,0
2025-01-20,0
2025-01-21,0
2025-01-22,0
2025-01-23,0
2025-01-24,0
2025-01-25,0
2025-01-26,0
2025-01-27,0
2025-01-28,0
2025-01-29,0
2025-01-30,0
2025-01-31,1
2025-02-01,1
2025-02-02,1
2025-02-03,1
2025-02-04,1
2025-02-05,1
2025-02-06,1
2025-02-07,1
2025-02-08,1
2025-02-09,1
